AgMLA009	 pop_0 	AgermCT004 	0 	0
AgMLA010	 pop_0 	AgermCT004 	345 	345
AgMLA011	 pop_0 	AgermCT004 	345 	345
AgMLA012	 pop_0 	AgermCT004 	0 	0
AgMLA013	 pop_0 	AgermCT004 	345 	345
AgMLA014	 pop_0 	AgermCT004 	345 	345
AgMLA015	 pop_0 	AgermCT004 	345 	345
AgMLA016	 pop_0 	AgermCT004 	345 	345
AgMLA017	 pop_0 	AgermCT004 	0 	0
AgMLA018	 pop_0 	AgermCT004 	0 	0
AgMLA019	 pop_0 	AgermCT004 	0 	0
AgMLA020	 pop_0 	AgermCT004 	0 	0
AgMLA021	 pop_0 	AgermCT004 	0 	0
AgMLA022	 pop_0 	AgermCT004 	345 	345
AgMLA023	 pop_0 	AgermCT004 	345 	345
AgMLA024	 pop_0 	AgermCT004 	0 	0
AgMLA025	 pop_0 	AgermCT004 	345 	345
AgMLA026	 pop_0 	AgermCT004 	0 	0
AgMLA027	 pop_0 	AgermCT004 	0 	0
AgMLA028	 pop_0 	AgermCT004 	0 	0
AgMLA029	 pop_0 	AgermCT004 	345 	345
AgMLA030	 pop_0 	AgermCT004 	345 	345
AgMLA031	 pop_0 	AgermCT004 	345 	345
AgMLA032	 pop_0 	AgermCT004 	345 	345
AgMLA033	 pop_0 	AgermCT004 	345 	345
AgMLA034	 pop_0 	AgermCT004 	345 	345
AgMLA035	 pop_0 	AgermCT004 	345 	345
AgMLA036	 pop_0 	AgermCT004 	345 	345
AgMLA037	 pop_0 	AgermCT004 	345 	345
AgMLA038	 pop_0 	AgermCT004 	0 	0
AgMLA039	 pop_0 	AgermCT004 	0 	0
AgMLA040	 pop_0 	AgermCT004 	345 	345
AgMBA001	 pop_0 	AgermCT004 	345 	345
AgMBA002	 pop_0 	AgermCT004 	399 	399
AgMBA003	 pop_0 	AgermCT004 	345 	345
AgMBA004	 pop_0 	AgermCT004 	345 	345
AgMBA005	 pop_0 	AgermCT004 	345 	345
AgMBA006	 pop_0 	AgermCT004 	345 	345
AgMBA007	 pop_0 	AgermCT004 	345 	345
AgMBA008	 pop_0 	AgermCT004 	345 	345
AgMBA009	 pop_0 	AgermCT004 	345 	345
AgMBA010	 pop_0 	AgermCT004 	345 	345
AgMBA011	 pop_0 	AgermCT004 	345 	345
AgMBA012	 pop_0 	AgermCT004 	345 	345
AgMBA013	 pop_0 	AgermCT004 	345 	345
AgMBA014	 pop_0 	AgermCT004 	345 	345
AgMBA015	 pop_0 	AgermCT004 	345 	345
AgMBA016	 pop_0 	AgermCT004 	345 	345
AgMBA017	 pop_0 	AgermCT004 	345 	345
AgMBA018	 pop_0 	AgermCT004 	345 	345
AgMBA019	 pop_0 	AgermCT004 	345 	345
AgMBA020	 pop_0 	AgermCT004 	345 	345
AgMBA021	 pop_0 	AgermCT004 	345 	345
AgMBA022	 pop_0 	AgermCT004 	0 	0
AgMBA023	 pop_0 	AgermCT004 	345 	345
AgMBA024	 pop_0 	AgermCT004 	345 	345
AgMBA025	 pop_0 	AgermCT004 	345 	345
AgMBA026	 pop_0 	AgermCT004 	345 	345
AgMBA027	 pop_0 	AgermCT004 	345 	345
AgMBA028	 pop_0 	AgermCT004 	345 	345
AgMBA029	 pop_0 	AgermCT004 	345 	345
AgMBA030	 pop_0 	AgermCT004 	345 	345
AgMBA031	 pop_0 	AgermCT004 	345 	345
AgMBA032	 pop_0 	AgermCT004 	345 	345
AgMBA033	 pop_0 	AgermCT004 	345 	345
AgMBA034	 pop_0 	AgermCT004 	367 	369
AgMBA035	 pop_0 	AgermCT004 	345 	345
AgMBA036	 pop_0 	AgermCT004 	345 	345
AgMBA037	 pop_0 	AgermCT004 	345 	345
AgMBA038	 pop_0 	AgermCT004 	0 	0
AgMBA039	 pop_0 	AgermCT004 	345 	345
AgMBA040	 pop_0 	AgermCT004 	345 	345
AgMEC001	 pop_1 	AgermCT004 	345 	345
AgMEC002	 pop_1 	AgermCT004 	345 	345
AgMEC003	 pop_1 	AgermCT004 	345 	345
AgMEC004	 pop_1 	AgermCT004 	345 	345
AgMEC005	 pop_1 	AgermCT004 	345 	345
AgMEC006	 pop_1 	AgermCT004 	345 	345
AgMEC007	 pop_1 	AgermCT004 	345 	345
AgMEC008	 pop_1 	AgermCT004 	345 	345
AgMEC009	 pop_1 	AgermCT004 	345 	345
AgMEC010	 pop_1 	AgermCT004 	345 	345
AgMEC011	 pop_1 	AgermCT004 	345 	345
AgMEC012	 pop_1 	AgermCT004 	345 	345
AgMEC013	 pop_1 	AgermCT004 	345 	345
AgMEC014	 pop_1 	AgermCT004 	345 	345
